competitor,reference_name,location,solution,product_family,relevance,evidence_status
SOFTEK,"Agropromet","Užice","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Valerije","Vranje","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"AgroFrigo Lukić","Arilje","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"AS Group","Brus","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"TR Džuver","Kosjerić","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Fortis doo","Bojnik","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Tomović","Koštunići","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Rosa","Aleksandrovac","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Eko-Nikolić","Kosjerić","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Eurohorizont doo","Prijepolje","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Paun","Teočin","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"Županjka","Rekovac","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
SOFTEK,"STUR Gorava","Priboj","Softver za otkup poljoprivrednih proizvoda","nije navedeno","direct","user_provided_reference_list"
KRUNET,"Strela d.o.o.","nije navedeno","Softver za otkup, preradu i skladištenje voća","Hladis","direct","user_provided_reference_list"
KRUNET,"Vule komerc d.o.o.","nije navedeno","Softver za otkup, preradu i skladištenje voća","Hladis","direct","user_provided_reference_list"
KRUNET,"Maks d.o.o.","nije navedeno","Softver za otkup, preradu i skladištenje voća","Hladis","direct","user_provided_reference_list"
KRUNET,"Voće produkt d.o.o.","nije navedeno","Softver za otkup, preradu i skladištenje voća","Hladis","direct","user_provided_reference_list"
KRUNET,"Sweet home","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"MENEX","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"Janeks d.o.o.","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"Žileks trgovina","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"MDDP Janić","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"Eko Food","Vlasotince","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"Jeka Fruit","nije navedeno","Softver za otkup, preradu i skladištenje voća","K.I.A. fruit","direct","user_provided_reference_list"
KRUNET,"PET-ING","nije navedeno","Softver za magacinsko zaduženje","custom","adjacent","user_provided_reference_list"
KRUNET,"Marić Centar d.o.o.","nije navedeno","Softver za marketinški nastup na tržištu","custom","other","user_provided_reference_list"
KRUNET,"AMIGOS Kafa","nije navedeno","Softver za praćenje proizvodnje, sledljivosti i uporednu analizu cena","custom","adjacent","user_provided_reference_list"
KRUNET,"Dunipak","nije navedeno","Softver za praćenje proizvodnje u svim fazama u industriji kartonske ambalaže","custom","adjacent","user_provided_reference_list"
YUTEAM,"DOO Raca","Zrenjanin","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"DOO Banija Agrar","Pivnice","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"DOO Velisavljev","Botoš","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"DOO Romić Agrar","Kikinda","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"Agropromet Keser DOO","Kikinda","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"Nikša Agrar","Kljaićevo","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"PP Borac AD","Šurjan","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"ZZ Zrenjanin","Zrenjanin","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"ZZ Yuko","Begejci","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"ZZ Elemir","Eelemir","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"ZZ Žitarice","Kać","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
YUTEAM,"Mlin Banatski klas","Bavanište","Referentna lista 'RUGE I KOOPERACIJE'","RUGE I KOOPERACIJE","adjacent","user_provided_reference_list"
