research_priority,reference_name,legal_name,maticni_broj,algorithmic_status,validated_research_status,segment,revenue_rsd_2025,employees_2025,public_process_evidence,public_website,public_email,public_phone,public_named_contact,contact_confidence,open_questions,recommended_next_action,source_url_1,source_url_2,last_verified
1,FRIGO-PAUN,"POLJOPRIVREDNO PREDUZEĆE FRIGO-PAUN DOO POŽEGA",06353096,ready_for_account_research,ready_tier_1,"voće; hladnjača; kooperanti",881724000,31,"Zvanični sajt navodi otkup, preradu, pakovanje i izvoz voća, kao i ugovore sa više od 1.000 proizvođača.",https://www.frigo-paun.rs/,office@frigo-paun.rs,"+381 31 3716 107 | +381 31 825 474",,high,"Da li još koriste Infosys; broj otkupnih mesta; sezonski broj dokumenata; ERP/računovodstvo; migracioni format.","Dubinski account research; ne kontaktirati pre pripreme Infosys migration discovery-ja.",https://www.frigo-paun.rs/,https://www.frigo-paun.rs/index-srb.html,2026-07-23
2,BUDIM GRAD,"DOO BUDIM GRAD BUDILOVINA",06994857,ready_for_account_research,ready_tier_1,"voće; hladnjača",1398804000,59,"Founder-confirmed Infosys referenca i hladnjača; javni izvori potvrđuju otkup, preradu i zamrzavanje voća i povrća.",https://www.budimgrad.com/,budimgrad@yahoo.com,"037 820 292 | 037 837 237",,medium,"Proveriti aktuelni telefon; da li još koriste Infosys; broj stanica i kooperanata; razlog mogućeg nezadovoljstva; postojeći ERP.","Dubinski account research i verifikacija kontakta pre bilo kakvog outreach-a.",https://www.budimgrad.com/,https://www.pttimenik.com/hladnjace-brus/budim-grad-hladnjaca,2026-07-23
3,FRUCOM FOOD,"FRUCOM FOOD DOO ARILJE",20991348,ready_for_account_research,ready_tier_1,"voće; hladnjača; izvoz; sledljivost",775708000,66,"Javni izvori potvrđuju hladnjaču u Grdovićima i poslovnu jedinicu u Lokvi/Užicu. Grupni sajt navodi 4.200 t skladišta, 150 t dnevnog zamrzavanja i agronome koji prate proizvođače radi sledljivosti.",https://www.descours.fr/en/groupe-frucom-food-en/,office@frucomfood.rs,0313893847,"Roger Descours Group — lokalni decision-maker nije javno potvrđen",high,"Da li Infosys pokriva obe lokacije; odnos lokalnog menadžmenta i grupnog IT-a; broj kooperanata; formati sledljivosti; mogućnost centralnog odobrenja.","Enterprise account map: lokalni operativni sponsor, finansije/IT i vlasnička grupa.",https://fairs.pks.rs/frucom-food-gul26/,https://www.descours.fr/en/groupe-frucom-food-en/,2026-07-23
4,AS-AGRO 99,"AS-AGRO 99 DOO BANATSKO NOVO SELO",21225452,ready_for_account_research,ready_tier_1_adjacent_grain,"žitarice; uljarice; otkup; skladištenje",3528730000,18,"Javno je eksplicitno navedeno: otkup, skladištenje i prodaja žitarica, kao i otkup/prodaja uljarica. Ovo potvrđuje procesni fit van voćarskog segmenta.",https://www.as-agro99.rs/,"otkup@as-agro99.rs | office@as-agro99.rs",013420772,"Milivoj Lukić — direktor",high,"Koji Infosys moduli se koriste; broj silosa/lokacija; prijem robe i laboratorija; obračun kooperanata; vaga; sezonski peak; fit AgriX-a bez forka.","Discovery za ratarstvo/kooperaciju pre prodajne ponude; koristiti kao test adjacent segmenta.",https://www.pttimenik.com/poljoprivreda-banatsko-novo-selo/agro-99-otkup-zita,https://www.companywall.rs/firma/as-agro-99-doo-banatsko-novo-selo/MMNEl0bR,2026-07-23
5,AGRO-SUNCOKRET,"AGRO-SUNCOKRET DOO UŽICE",20724064,hold_until_process_proven,ready_tier_1_process_confirmation,"voće; prerada; istorijski agro-trade signal",813105000,18,"Aktuelni poslovni izvori i APR-derived podaci vode firmu pod šifrom 1039 i industrijom prerade voća i povrća; stariji javni profil navodi šifru 4621. Firma ima deset poslovnih jedinica, ali javni dokaz otkupne mreže nije pronađen.",,agrosuncokret@gmail.com,"031 351 6604 | 031 339 1421","Aleksandar Despotović — direktor",medium,"Razjasniti promenu delatnosti 4621→1039; broj i namenu deset poslovnih jedinica; da li postoji otkup/kooperacija; da li još koriste Infosys; koje module koriste.","Dubinski research i procesna potvrda; zbog veličine i trenutne šifre ne ostavljati ga u hold grupi bez provere.",https://www.companywall.rs/firma/agro-suncokret-doo-uzice/MMiG1420,https://agrosuncokret.ls.rs/rs/o-nama.html,2026-07-23
6,FRIGO BRAĆA MITROVIĆ,"FRIGO BRAĆA MITROVIĆ DOO PILICA",20932457,ready_for_account_research,ready_tier_2,"voće; prerada; hladnjača",452388000,19,"Aktivan subjekt sa šifrom 1039; javna poslovna stranica potvrđuje preradu i konzervisanje voća i povrća.",https://frigobracamitrovic.ls.rs/rs/,mmmitrovicbb@gmail.com,031858224,"Boban Mitrović — zakonski zastupnik",medium,"Broj stanica/kooperanata; dokumentacioni volumen; da li referenca označava aktivan Infosys sistem; postojeći ERP; izvozni standardi.","Account research i kratka procesna kvalifikacija pre outreach-a.",https://frigobracamitrovic.ls.rs/rs/,https://www.companywall.rs/firma/frigo-braca-mitrovic-doo-pilica/MMoLBp2q,2026-07-23
7,MAGIC BERRY FRUITS,"MAGIC BERRY FRUITS DOO PILATOVIĆI",22022989,ready_for_account_research,ready_tier_2_verify_installation,"voće; prerada; nova firma",211140000,2,"Aktivan subjekt sa šifrom 1039, osnovan 2024. godine. Visok prihod uz dva zaposlena zahteva razumevanje stvarne operativne strukture.",,magicberryfruits@gmail.com,0616218685,"Olga Božić — direktor",medium,"Da li je Infosys instaliran od osnivanja; koliko je operacija outsourcovano; broj otkupnih mesta i sezonskih radnika; ko vodi finansije; zašto tako mali broj stalno zaposlenih.","Verifikovati aktuelnu Infosys instalaciju i operativni model pre ponude.",https://www.companywall.rs/firma/magic-berry-fruits-doo/MMxBr9Kwq,https://www.dnb.com/business-directory/company-information.fruit_and_vegetable_preserving_and_specialty_food_manufacturing.rs.zlatiborski.html,2026-07-23
8,FRIGOMIL,"FRIGOMIL DOO KOTRAŽA",17394037,ready_for_account_research,ready_tier_2,"voće; prerada; hladnjača",83422000,8,"Aktivan subjekt sa šifrom 1039. Javni izvori potvrđuju pravni identitet, preradu voća i postojanje minusne lager komore.",,dragan@frigomil.rs,032856541,"Dragan Kuzmanović — direktor; Milomir Kuzmanović — javno navedena kontakt osoba",medium,"Broj kooperanata i otkupnih mesta; kapaciteti; aktivnost Infosys sistema; dokumentacioni volumen; budžet i timing.","Account research; verovatno kraći prodajni ciklus od velikih enterprise računa.",https://frigomil-kotraza.ls.rs/rs/,https://eurofrigo.rs/index.php/features/reference,2026-07-23
9,MALINA PROIZVOD,"MALINA PROIZVOD DOO KOSJERIĆ",20141948,ready_for_account_research,ready_tier_2,"voće; veleprodaja; otkupni signal",18765000,1,"Aktivan subjekt sa šifrom 4631. Lokalni dokument pominje firmu među učesnicima u kosjerićkom lancu otkupa maline.",,office@malinaproizvod.com,031783887,"Ljubomir Pejić — direktor",medium,"Zašto prihod naglo varira; da li firma i dalje operativno otkupljuje; broj stanica; aktivan Infosys; da li je realan budžet za migraciju.","Prvo potvrditi aktuelan obim otkupa; zatim proceniti low-friction paket.",https://www.companywall.rs/firma/pppup-malina-proizvod-doo-kosjeric/MMjionlD,https://www.koalicija27.org/wp-content/uploads/2021/05/Polazne-osnove-za-tranziciju-ka-cirkularnoj-ekonomiji-Kosjeric-1.pdf,2026-07-23
10,AGRONOM FIT,"AGRONOM FIT DOO POŽEGA",20804734,ready_for_account_research,process_validation_first,"agro inputi; veleprodaja; maloprodaja",462733000,9,"Sopstveni sajt opisuje pesticide, seme, đubrivo, navodnjavanje, dve poljoprivredne apoteke i veleprodaju inputa. Nije pronađen javni dokaz otkupa ili kooperantskog toka.",https://vasiljevic-sajt.github.io/,agronom.pozega@mts.rs,"031 812 200 | 031 714 107","Zoran Vasiljević — javno naveden na poslovnom sajtu",high,"Da li Infosys koristi za klasičnu trgovinu ili postoji skriveni otkup/kooperacija; da li uopšte postoji AgriX use case.","Ne pokretati outbound dok se telefonski ili drugim dokazom ne potvrdi otkupni/kooperantski proces.",https://vasiljevic-sajt.github.io/,https://www.companywall.rs/firma/agronom-fit-doo/MMfVviIY,2026-07-23
