competitor,source_list,source_item,source_page,location,reference_name,category,classification_confidence,agrix_potential,note,evidence_status
INFOSYS,Infosys referentna lista — agro i prehrambene firme,4,1,Arilje,FRUCOM FOOD d.o.o. Arilje,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,8,1,Arilje,MLEKARA MORAVICA DOO ARILJE,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,9,1,Arilje,MORAVICA DOO,Mlekarstvo,Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,10,1,Arilje,PARAMUN DOO,"Voće, povrće i hladnjače",Potrebna provera,Visok,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,11,1,Arilje,POLJOPRIVREDNA APOTEKA AGROMIX ARILJE,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,12,1,Arilje,Pionir doo Arilje,"Žitarice, pekarstvo i konditorska industrija",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,18,1,Bajina Bašta,FRIGO BRACA MITROVIC,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,20,1,Bajina Bašta,MLEKARA SPASOJEVIC DOO,Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,25,1,Banatsko Novo Selo,AS-AGRO 99 DOO,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,35,1,Belušić,VINEX GROZD DOO REKOVAC,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,43,1,Beograd,ALLIANCE ONE TOBACCO DOO,Duvan,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,49,1,Beograd,BALTASAR VINO DOO BEOGRAD,"Vino, pivo i ostala pića",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,62,1,Beograd,DOLINA GRUZE BEOGRAD,"Vino, pivo i ostala pića",Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,65,1,Beograd,DRUSTVO ZA ZASTITU BILJA SRBIJE,Instituti i strukovne organizacije,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,110,1,Beograd,NATURALIST DOO BEOGRAD,Opšta prehrambena industrija,Potrebna provera,Srednji,"Naziv ili lokacija ukazuju na moguću agro/prehrambenu delatnost, ali lista ne navodi šifru delatnosti.",user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,158,1,Beograd,ZLATIBORAC DOO BEOGRAD,Meso i prerada mesa,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,165,1,Čačak,DESSERT,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,167,1,Čačak,4 SOMUNA,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,177,1,Čačak,AGROMEHANIZACIJA MICOVIC,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,192,1,Čačak,BIO MRVICA DOO CACAK,"Žitarice, pekarstvo i konditorska industrija",Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,193,1,Čačak,BIOPRODUKT-PROIZVODNJA DOO CACAK,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,207,1,Čačak,Chips Way d.o.o.,Opšta prehrambena industrija,Jasno iz naziva,Srednji,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,212,1,Čačak,DOO AGROHEMIJA CACAK,Agro-inputi i mehanizacija,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,224,1,Čačak,"DOO MTM SIRELA CACAK, PRELJINA",Mlekarstvo,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,243,1,Čačak,EUROFISH DOO CACAK,"Stočarstvo, ribarstvo i veterina",Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
INFOSYS,Infosys referentna lista — agro i prehrambene firme,263,2,Čačak,INSTITUT ZA VOCARSTVO,Instituti i strukovne organizacije,Jasno iz naziva,Nizak,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name
