competitor,source_list,source_item,source_page,location,reference_name,category,classification_confidence,agrix_potential,note,evidence_status,known_maticni_broj,known_activity_code,known_status,external_financial_year,external_revenue_rsd,external_employees,priority_tier,apr_match_scope,apr_match_status,match_method,match_score,match_margin,core_name_exact,core_name_subset,distinctive_shared_tokens,location_match_score,reference_core_name,candidate_core_name,unmatched_reason,candidate_apr_maticni_broj,candidate_apr_naziv,candidate_apr_sifra_delatnosti,candidate_apr_status,candidate_apr_financial_year,candidate_apr_prihod_rsd,candidate_apr_zaposleni,candidate_apr_opstina,apr_maticni_broj,apr_naziv,apr_sifra_delatnosti,apr_status,apr_financial_year,apr_prihod_rsd,apr_zaposleni,apr_opstina,wide_match_scope,wide_match_status,wide_match_method,wide_match_score,wide_match_margin,wide_candidate_count,wide_core_name_exact,wide_core_name_subset,wide_distinctive_shared_tokens,wide_location_match_score,wide_reference_core_name,wide_candidate_core_name,wide_unmatched_reason,wide_maticni_broj,wide_naziv,wide_sifra_delatnosti,wide_status,wide_opstina,wide_datum_osnivanja,wide_financial_year,wide_prihod_rsd,wide_employees,wide_found_financials,wide_poslovna_imovina_rsd,wide_kapital_rsd,wide_gubitak_rsd,wide_neto_dobitak_rsd,wide_neto_gubitak_rsd,source_reference_names,source_reference_count,source_categories,process_fit_status,process_fit_reason,active_legal_entity,revenue_score,employee_score,region_score,fit_score,identity_score,target_score,readiness_rank,sales_readiness
INFOSYS,Infosys referentna lista — founder-confirmed addition,,,Budilovina / Brus,DOO BUDIM GRAD BUDILOVINA,"Voće, povrće i hladnjače",Founder-confirmed + public evidence,Visok,"Osnivač je potvrdio da se firma nalazi u Infosys referentnoj listi. Identifikacioni dokument firme potvrđuje MB 06994857 i šifru 1039; javni poslovni podaci potvrđuju otkup/preradu/zamrzavanje voća, prihod i zaposlene.",founder_confirmed_reference_plus_public_business_evidence,06994857,1039,Aktivan,2025,1399742000,59,A,APR activity codes 1039/4631 only,matched,known_company_id,1.0,1.0,True,True,1,1.0,budim grad budilovina,budim grad budilovina,,06994857,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE BUDIM GRAD, BUDILOVINA",1039,Активан,2025.0,1398804000.0,59.0,БРУС,06994857,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE BUDIM GRAD, BUDILOVINA",1039,Активан,2025.0,1398804000.0,59.0,БРУС,APR all registered activity codes,matched,preserved_confirmed_narrow_match,1.0,1.0,1,True,True,1,1.0,,,,06994857,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, PROMET I USLUGE BUDIM GRAD, BUDILOVINA",1039,Активан,БРУС,1992-10-07,2025,1398804000,59,True,938180000.0,521922000.0,0.0,67002000.0,0.0,DOO BUDIM GRAD BUDILOVINA,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,18,8,8,45,10,89,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,680,3,Požega,FRIGO -PAUN DOO POZEGA,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,matched,core_name_subset_location,0.8097,0.3413,False,True,1,0.7,frigo paun,poljoprivredno frigo paun,,06353096,POLJOPRIVREDNO PREDUZEĆE FRIGO-PAUN DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU POŽEGA,1039,Активан,2025.0,881724000.0,31.0,ПОЖЕГА,06353096,POLJOPRIVREDNO PREDUZEĆE FRIGO-PAUN DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU POŽEGA,1039,Активан,2025.0,881724000.0,31.0,ПОЖЕГА,APR all registered activity codes,matched,preserved_confirmed_narrow_match,1.0,1.0,1,True,True,1,1.0,,,,06353096,POLJOPRIVREDNO PREDUZEĆE FRIGO-PAUN  DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU POŽEGA,1039,Активан,ПОЖЕГА,1998-07-06,2025,881724000,31,True,715619000.0,301753000.0,0.0,25092000.0,0.0,FRIGO -PAUN DOO POZEGA,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,18,8,8,45,10,89,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,4,1,Arilje,FRUCOM FOOD d.o.o. Arilje,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,matched,exact_core_name_location,1.0,0.5303,True,True,1,0.7,frucom food,frucom food,,20991348,FRUCOM FOOD društvo sa ograničenom odgovornošću Arilje,1039,Активан,2025.0,775708000.0,66.0,АРИЉЕ,20991348,FRUCOM FOOD društvo sa ograničenom odgovornošću Arilje,1039,Активан,2025.0,775708000.0,66.0,АРИЉЕ,APR all registered activity codes,matched,preserved_confirmed_narrow_match,1.0,1.0,1,True,True,1,1.0,,,,20991348,FRUCOM FOOD društvo sa ograničenom odgovornošću Arilje,1039,Активан,АРИЉЕ,2014-02-05,2025,775708000,66,True,1062233000.0,247175000.0,338478000.0,10997000.0,0.0,FRUCOM FOOD d.o.o. Arilje,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,18,8,8,45,10,89,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,674,3,Požega,AGRONOM FIT DOO POZEGA,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,unmatched,no_safe_match_in_narrow_apr_scope,0.381,0.0173,False,False,0,0.0,agronom fit,agro fruit,No safe identity match in the current APR dataset limited to activity codes 1039/4631.,21972665,AGRO FRUIT доо Ваљево,1039,Активан,,,,,,,,,,,,,APR all registered activity codes,matched,wide_exact_core_name_location,1.0,0.5943,352,True,True,1,1.0,agronom fit,agronom fit,,20804734,AGRONOM FIT DOO POŽEGA,4621,Активан,ПОЖЕГА,2012-02-24,2025,462733000,9,True,99177000.0,95298000.0,0.0,13052000.0,0.0,AGRONOM FIT DOO POZEGA,1,Poljoprivreda i kooperative,direct_evidence,APR šifra potvrđuje trgovinu poljoprivrednim proizvodima ili skladištenje.,True,18,8,8,45,10,89,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,18,1,Bajina Bašta,FRIGO BRACA MITROVIC,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,unmatched,no_safe_match_in_narrow_apr_scope,0.385,0.05,False,False,0,0.0,frigo braca mitrovic,frigo levac sljivica,No safe identity match in the current APR dataset limited to activity codes 1039/4631.,20711205,Društvo za proizvodnju promet i usluge Frigo-Levač d.o.o. Šljivica,1039,Активан,2025.0,321166000.0,69.0,РЕКОВАЦ,,,,,,,,,APR all registered activity codes,matched,wide_core_subset_location,1.0,0.3743,369,False,True,2,1.0,frigo braca mitrovic,frigo braca mitrovic pilica,,20932457,ФРИГО БРАЋА МИТРОВИЋ доо ПИЛИЦА,1039,Активан,БАЈИНА БАШТА,2013-06-06,2025,452388000,19,True,225089000.0,122789000.0,0.0,3046000.0,0.0,FRIGO BRACA MITROVIC,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,18,8,8,45,10,89,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,692,3,Požega,MAGIC BERRY FRUITS D.O.O.,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,manual_review,core_name_subset_unique_candidate,0.848,0.345,False,True,2,0.0,magic berry fruits,magic berry fruits pilatovici,,22022989,MAGIC BERRY FRUITS D.O.O. PILATOVIĆI,1039,Активан,2025.0,211140000.0,2.0,ПОЖЕГА,22022989,MAGIC BERRY FRUITS D.O.O. PILATOVIĆI,1039,Активан,2025.0,211140000.0,2.0,ПОЖЕГА,APR all registered activity codes,matched,wide_core_subset_location,0.968,0.4106,451,False,True,2,1.0,magic berry fruits,magic berry fruits pilatovici,,22022989,MAGIC BERRY FRUITS D.O.O. PILATOVIĆI,1039,Активан,ПОЖЕГА,2024-06-19,2025,211140000,2,True,56784000.0,18744000.0,0.0,18744000.0,0.0,MAGIC BERRY FRUITS D.O.O.,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,18,4,8,45,10,85,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,457,2,Kotraža,FRIGOMIL DOO KOTRAZA,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,matched,exact_core_name_location,1.0,0.5882,True,True,1,0.7,frigomil,frigomil,,17394037,"DRUŠTVO ZA PROIZVODNJU I PROMET FRIGOMIL, DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU KOTRAŽA",1039,Активан,2025.0,83422000.0,8.0,ЛУЧАНИ,17394037,"DRUŠTVO ZA PROIZVODNJU I PROMET FRIGOMIL, DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU KOTRAŽA",1039,Активан,2025.0,83422000.0,8.0,ЛУЧАНИ,APR all registered activity codes,matched,preserved_confirmed_narrow_match,1.0,1.0,1,True,True,1,1.0,,,,17394037,"DRUŠTVO ZA PROIZVODNJU I PROMET FRIGOMIL, DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU KOTRAŽA",1039,Активан,ЛУЧАНИ,2002-03-14,2025,83422000,8,True,127422000.0,120413000.0,0.0,130000.0,0.0,FRIGOMIL DOO KOTRAZA,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,12,8,8,45,10,83,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,25,1,Banatsko Novo Selo,AS-AGRO 99 DOO,Poljoprivreda i kooperative,Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,unmatched,no_safe_match_in_narrow_apr_scope,0.3867,0.0304,False,False,0,0.0,as agro 99,as agro 2014 pancevo,No safe identity match in the current APR dataset limited to activity codes 1039/4631.,20992549,AS-AGRO 2014 DOO PANČEVO,4631,Активан,2025.0,165653000.0,3.0,ПАНЧЕВО,,,,,,,,,APR all registered activity codes,matched,wide_exact_core_name_location,1.0,0.4864,798,True,True,0,0.7,as agro 99,as agro 99,,21225452,AС-АГРО 99 д.о.о. Банатско Ново Село,4621,Активан,ПАНЧЕВО,2016-09-13,2025,3528730000,18,True,3213740000.0,148935000.0,0.0,10893000.0,0.0,AS-AGRO 99 DOO,1,Poljoprivreda i kooperative,direct_evidence,APR šifra potvrđuje trgovinu poljoprivrednim proizvodima ili skladištenje.,True,15,8,0,45,10,78,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,452,2,Kosjerić,PPPUP MALINA PROIZVOD DOO,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,matched,core_name_subset_location,0.9407,0.5844,False,True,1,0.7,malina proizvod,malina proizvod varos,,20141948,"PREDUZEĆE ZA PROIZVODNJU, PRERADU I USLUGE U POLJOPRIVREDI MALINA PROIZVOD DOO, KOSJERIĆ (VAROŠ)",4631,Активан,2025.0,18765000.0,1.0,КОСЈЕРИЋ,20141948,"PREDUZEĆE ZA PROIZVODNJU, PRERADU I USLUGE U POLJOPRIVREDI MALINA PROIZVOD DOO, KOSJERIĆ (VAROŠ)",4631,Активан,2025.0,18765000.0,1.0,КОСЈЕРИЋ,APR all registered activity codes,matched,preserved_confirmed_narrow_match,1.0,1.0,1,True,True,1,1.0,,,,20141948,"PREDUZEĆE ZA PROIZVODNJU, PRERADU I USLUGE U POLJOPRIVREDI MALINA PROIZVOD DOO, KOSJERIĆ (VAROŠ)",4631,Активан,КОСЈЕРИЋ,2006-03-20,2025,18765000,1,True,66156000.0,17090000.0,0.0,6644000.0,0.0,PPPUP MALINA PROIZVOD DOO,1,"Voće, povrće i hladnjače",direct_evidence,Voćarski/hladnjačarski izvor i direktna APR šifra.,True,8,4,8,45,10,75,1,ready_for_account_research
INFOSYS,Infosys referentna lista — agro i prehrambene firme,981,5,Zlatibor,MASTER FRIGO d.o.o.,"Voće, povrće i hladnjače",Jasno iz naziva,Visok,Eksplicitna agro/prehrambena odrednica u nazivu ili prepoznatljiv sektor.,user_provided_reference_list_classified_by_name,,,,,,,A,APR activity codes 1039/4631 only,unmatched,no_safe_match_in_narrow_apr_scope,0.5,0.0087,False,False,1,0.0,master frigo,master fruits,No safe identity match in the current APR dataset limited to activity codes 1039/4631.,21202266,Привредно друштво за прераду замрзавање складиштење и промет пољопривредних производа MASTER FRUITS д.о.о. Београд-Палилула,1039,Активан,2024.0,3286002000.0,117.0,ПАЛИЛУЛА (БЕОГРАД),,,,,,,,,APR all registered activity codes,matched,wide_exact_core_name_location,1.0,0.0622,223,True,True,1,0.7,master frigo,master frigo,,06285783,Privredno društvo MASTER FRIGO d.o.o. Zlatibor,2825,Активан,ЧАЈЕТИНА,1992-10-28,2025,382735000,2,True,2246737000.0,2014209000.0,0.0,26519000.0,0.0,MASTER FRIGO d.o.o.,1,"Voće, povrće i hladnjače",strong_candidate_needs_process_check,"Naziv/reference signal je jak, ali APR šifra ne dokazuje otkup.",True,18,4,8,28,10,68,2,process_validation_first
