Fajl;OrigLiteral;SuggestedText;Status;Line
frmAgrohemija.frm;"""Greska: artikal nema definisano Pakovanje. """;Greška: artikal nema definisano Pakovanje. ;SUGGESTED;234
frmAgrohemija.frm;"""Greska: artikal nema Pakovanje""";Greška: artikal nema Pakovanje;SUGGESTED;283
frmAgrohemija.frm;"""Prijem sacuvan: """;Prijem sačuvan: ;SUGGESTED;730
frmBankaExportPregled.frm;"""Greska pri ucitavanju.""";Greška pri učitavanju.;SUGGESTED;123
frmBankaExportPregled.frm;"""Ovaj kooperant nema TekuciRacun. Ne moze biti u paketu.""";Ovaj kooperant nema TekuciRacun. Ne može biti u paketu.;SUGGESTED;240
frmBankaExportPregled.frm;"""Tek. racun: """;Tek. račun: ;SUGGESTED;315
frmBankaImport.frm;"""(greska pri citanju saldo info-a)""";(greška pri čitanju saldo info-a);SUGGESTED;699
frmDokumenta.frm;"""Neispravna kolicina Kl.I""";Neispravna količina Kl.I;SUGGESTED;1812
frmDokumenta.frm;"""Neispravna kolicina Kl.II""";Neispravna količina Kl.II;SUGGESTED;1821
frmDokumenta.frm;"""Neispravna kolicina ambalaze Kl.II""";Neispravna količina ambalaže Kl.II;SUGGESTED;1842
frmIzvestaj.frm;"""Ambalaza""";Ambalaža;SUGGESTED;162
frmIzvestaj.frm;"""Spreman za izvestaj""";Spreman za izveštaj;SUGGESTED;560
frmIzvestaj.frm;"""PREGLED AMBALAZE: """;PREGLED AMBALAŽE: ;SUGGESTED;1033
frmIzvestaj.frm;"""PREGLED AMBALAZE""";PREGLED AMBALAŽE;SUGGESTED;1637
frmMarza.frm;"""Marza""";Marža;SUGGESTED;55
frmOtkup.frm;"""Izdata ambalaza""";Izdata ambalaža;SUGGESTED;170
frmOtkupAPP.frm;"""Maticni podaci""";Matični podaci;SUGGESTED;324
frmOtkupAPP.frm;"""Sekcija: Maticni podaci""";Sekcija: Matični podaci;SUGGESTED;761
frmStammdaten.frm;"""Tekuci Racun""";Tekući Račun;SUGGESTED;360
frmStammdaten.frm;"""Postanski Broj""";Poštanski Broj;SUGGESTED;445
frmStammdaten.frm;"""Drzava""";Država;SUGGESTED;446
frmStammdaten.frm;"""Maticni Broj""";Matični Broj;SUGGESTED;448
frmStammdaten.frm;"""Kat. Opstina""";Kat. Opština;SUGGESTED;525
frmStammdaten.frm;"""Vrsta voca""";Vrsta voća;SUGGESTED;660
frmStammdaten.frm;"""Sorta voca""";Sorta voća;SUGGESTED;661
frmStammdaten.frm;"""Tip ambalaze (podraz.)""";Tip ambalaže (podraz.);SUGGESTED;663
frmStammdaten.frm;"""Tip ambalaze""";Tip ambalaže;SUGGESTED;687
frmStammdaten.frm;"""Tezina gajbice (kg)""";Težina gajbice (kg);SUGGESTED;700
frmStammdaten.frm;"""Tezina (kg)""";Težina (kg);SUGGESTED;718
modKarticaDetalji.bas;"""DETALJI AMBALAZE""";DETALJI AMBALAŽE;SUGGESTED;331
modOtkupBlok.bas;"""Stampaj po datumu""";Štampaj po datumu;SUGGESTED;343
modOtkupBlok.bas;"""Stampaj list""";Štampaj list;SUGGESTED;349
modOtkupBlok.bas;"""Stampaj specifikaciju""";Štampaj specifikaciju;SUGGESTED;829
frmAgrohemija.frm;"""Dug: """;Dug: ;OK;169
frmAgrohemija.frm;"""Izaberi artikal i parcele za preporuku""";Izaberi artikal i parcele za preporuku;OK;197
frmAgrohemija.frm;"""Izaberi parceleza preporuku""";Izaberi parceleza preporuku;OK;215
frmAgrohemija.frm;"""Doza: """;Doza: ;OK;250
frmAgrohemija.frm;"""Izdavanje sacuvano: """;Izdavanje sacuvano: ;OK;518
frmAgrohemija.frm;"""Vrednost: """;Vrednost: ;OK;609
frmAgrohemija.frm;"""Dug kooperanta""";Dug kooperanta;OK;915
frmAgrohemija.frm;"""--""";--;OK;917
frmAgrohemija.frm;"""Korpa izlaza""";Korpa izlaza;OK;932
frmAgrohemija.frm;"""Korpa ulaza""";Korpa ulaza;OK;944
frmAgrohemija.frm;"""Dug posle izdavanja""";Dug posle izdavanja;OK;954
frmAgrohemija.frm;"""Izaberi kooperanta za pocetak izdavanja""";Izaberi kooperanta za pocetak izdavanja;OK;974
frmBankaExportPregled.frm;"""Nema podataka.""";Nema podataka.;OK;261
frmBankaExportPregled.frm;"""Nema rezultata za izabran filter.""";Nema rezultata za izabran filter.;OK;271
frmBankaExportPregled.frm;"""Sve otvorene stavke su zatvorene. ?""";Sve otvorene stavke su zatvorene. ?;OK;274
frmBankaExportPregled.frm;"""Otvoreno: """;Otvoreno: ;OK;302
frmBankaExportPregled.frm;"""Kooperant avans: """;Kooperant avans: ;OK;308
frmBankaExportPregled.frm;"""Primeni avans kroz Dokumenta pre isplate""";Primeni avans kroz Dokumenta pre isplate;OK;318
frmBankaExportPregled.frm;"""(izaberi blok klikom na red)""";(izaberi blok klikom na red);OK;329
frmBankaExportPregled.frm;"""Neispravan iznos.""";Neispravan iznos.;OK;355
frmBankaExportPregled.frm;"""Iznos mora biti veci od 0.""";Iznos mora biti veci od 0.;OK;363
frmBankaExportPregled.frm;"""Iznos veci od otvorenog (""";Iznos veci od otvorenog (;OK;371
frmBankaExportPregled.frm;"""Otvoreno ukupno""";Otvoreno ukupno;OK;715
frmBankaExportPregled.frm;"""Selektovano""";Selektovano;OK;722
frmBankaExportPregled.frm;"""Bez TR""";Bez TR;OK;729
frmBankaExportPregled.frm;"""0 (svi imaju)""";0 (svi imaju);OK;731
frmBankaExportPregled.frm;"""Avans pool""";Avans pool;OK;740
frmBankaImport.frm;"""Nema otvorenih stavki.""";Nema otvorenih stavki.;OK;100
frmBankaImport.frm;"""Uplata: """;Uplata: ;OK;155
frmBankaImport.frm;"""Nema importovanih izvoda.""";Nema importovanih izvoda.;OK;599
frmBankaImport.frm;"""Nema aktivnih izvoda.""";Nema aktivnih izvoda.;OK;611
frmBankaImport.frm;"""Nema aktivnih izvoda sa validnim datumom.""";Nema aktivnih izvoda sa validnim datumom.;OK;647
frmBankaImport.frm;"""Otvoreno""";Otvoreno;OK;752
frmBankaImport.frm;"""Auto match""";Auto match;OK;759
frmBankaImport.frm;"""Uplate""";Uplate;OK;764
frmBankaImport.frm;"""Isplate""";Isplate;OK;769
frmDokumenta.frm;"""SALDO KUPCA   Uplaceno: """;SALDO KUPCA   Uplaceno: ;OK;267
frmDokumenta.frm;"""UKUPNO  """;UKUPNO  ;OK;406
frmDokumenta.frm;"""Prosek gajbe: """;Prosek gajbe: ;OK;452
frmDokumenta.frm;"""Broj zbirne""";Broj zbirne;OK;999
frmDokumenta.frm;"""Datum""";Datum;OK;1000
frmDokumenta.frm;"""Vrsta""";Vrsta;OK;1001
frmDokumenta.frm;"""Sorta""";Sorta;OK;1002
frmDokumenta.frm;"""Kg""";Kg;OK;1014
frmDokumenta.frm;"""Izdato koop.""";Izdato koop.;OK;1287
frmDokumenta.frm;"""Prijem koop.""";Prijem koop.;OK;1297
frmDokumenta.frm;"""OM Avans: """;OM Avans: ;OK;1610
frmDokumenta.frm;"""Amb Otp: """;Amb Otp: ;OK;1900
frmDokumenta.frm;"""Zbirna: """;Zbirna: ;OK;2232
frmDokumenta.frm;"""Stornirani dokumenti""";Stornirani dokumenti;OK;2775
frmDokumenta.frm;"""Stornirani dokumenti  (""";Stornirani dokumenti  (;OK;2856
frmDokumenta.frm;"""Mod: Palete""";Mod: Palete;OK;2978
frmDokumenta.frm;"""Mod: Prijemnice""";Mod: Prijemnice;OK;2978
frmDokumenta.frm;"""Palete prevezane: """;Palete prevezane: ;OK;3004
frmDokumenta.frm;"""Neuspelo.""";Neuspelo.;OK;3008
frmDokumenta.frm;"""Prevezano: prijemnica """;Prevezano: prijemnica ;OK;3029
frmDokumenta.frm;"""Neuspelo. Proveri da je zbirna """;Neuspelo. Proveri da je zbirna ;OK;3032
frmDokumenta.frm;"""Osiroceni dokumenti""";Osiroceni dokumenti;OK;3062
frmDokumenta.frm;"""Osirocene prijemnice""";Osirocene prijemnice;OK;3069
frmDokumenta.frm;"""Ciljna (aktivna) zbirna""";Ciljna (aktivna) zbirna;OK;3076
frmDokumenta.frm;"""Stornirane prijemnice (osirocene palete)""";Stornirane prijemnice (osirocene palete);OK;3185
frmDokumenta.frm;"""Ciljna (nova) prijemnica""";Ciljna (nova) prijemnica;OK;3186
