Kljuc;Tekst;Fajl;Linija;Tip;NemackiOriginal;Napomena;SumljiviObrasci
AGRO_LBL_MAGACIN_IZDAVANJE_ROBE;Magacin — izdavanje robe i prijem od dobavljaca;frmAgrohemija.frm;54;DA;;;dobavljac→dobavljač
AGRO_LBL_ULAZ_PRIJEM_ROBE;Ulaz — Prijem robe od dobavljaca;frmAgrohemija.frm;58;DA;;;dobavljac→dobavljač
AGRO_MSG_GRESKA_PRI_CUVANJU;Greška pri cuvanju izdavanja, promene vracene: ;frmAgrohemija.frm;534;DA;;;"cuvan→čuvan  (čuvanje/čuvanju); vracen→vraćen"
AGRO_MSG_GRESKA_PRI_CUVANJU_2;Greška pri cuvanju prijema, promene vracene: ;frmAgrohemija.frm;746;DA;;;"cuvan→čuvan  (čuvanje/čuvanju); vracen→vraćen"
DOK_MSG_UNOSI_SAMO_KLASA;Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.;frmDokumenta.frm;677;DA;;Koristi se i u: frmDokumenta.frm:1669, frmDokumenta.frm:1968, frmOtkup.frm:777;kolicin→količin
DOK_MSG_UNESITE_ISPRAVNU_KOLICINU;Unesite ispravnu kolicinu ambalaže!;frmDokumenta.frm;696;DA;;Koristi se i u: frmDokumenta.frm:1401, frmDokumenta.frm:1688, frmDokumenta.frm:1987, frmDokumenta.frm:2369, frmOtkup.frm:804;kolicin→količin
DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2;Unesite ispravnu kolicinu ambalaže za II klasu!;frmDokumenta.frm;706;DA;;Koristi se i u: frmDokumenta.frm:1698, frmDokumenta.frm:2006, frmOtkup.frm:814;kolicin→količin
DOK_MSG_MATICNI_PODACI_TIP;(Maticni podaci ? Tip ambalaže).;frmDokumenta.frm;721;DA;;Koristi se i u: frmDokumenta.frm:775, frmDokumenta.frm:2038, frmDokumenta.frm:2062, frmOtkup.frm:874, frmOtkup.frm:897;maticn→matičn
DOK_MSG_GRESKA_PRI_CUVANJU;Greška pri cuvanju otpremnice. Promene su vracene.;frmDokumenta.frm;819;DA;;;"cuvan→čuvan  (čuvanje/čuvanju); vracen→vraćen"
DOK_MSG_GRESKA_PRI_CUVANJU_2;Greška pri cuvanju OM ulaza. Promene su vracene.;frmDokumenta.frm;1544;DA;;;"cuvan→čuvan  (čuvanje/čuvanju); vracen→vraćen"
