Kljuc;Tekst;Fajl;Linija;Tip;NemackiOriginal;Napomena
APP_MSG_GRESKA_PRI_POKRETANJU;Greška pri pokretanju aplikacije. Pogledajte log.;ThisWorkbook.doccls;55;DA;;
AGRO_LBL_MAGACIN_IZDAVANJE_ROBE;Magacin — izdavanje robe i prijem od dobavljaca;frmAgrohemija.frm;54;DA;;
AGRO_LBL_IZLAZ_IZDAVANJE_ROBE;Izlaz — Izdavanje robe kooperantu;frmAgrohemija.frm;57;DA;;
AGRO_LBL_ULAZ_PRIJEM_ROBE;Ulaz — Prijem robe od dobavljaca;frmAgrohemija.frm;58;DA;;
AGRO_LBL_ZAVRSI_IZDAVANJE;Završi izdavanje;frmAgrohemija.frm;64;DA;;Koristi se i u: frmAgrohemija.frm:1002
AGRO_LBL_ZAVRSI_PRIJEM;Završi prijem;frmAgrohemija.frm;68;DA;;Koristi se i u: frmAgrohemija.frm:1004
AGRO_LBL_POPUNI_PAKOVANJE_FIELD;Popuni 'Pakovanje' field u tblArtikli pre korišcenja.;frmAgrohemija.frm;235;DA;;Koristi se i u: frmAgrohemija.frm:369
AGRO_MSG_POKUSAVATE_DODATI;Pokušavate dodati: ;frmAgrohemija.frm;396;DA;;
UI_SEPARATOR_EMDASH_SPACE; — ;frmAgrohemija.frm;425;DA;;Koristi se i u: frmBankaExportPregled.frm:301
AGRO_MSG_IZDAVANJE_ZAVRSENO;Izdavanje završeno: ;frmAgrohemija.frm;510;DA;;
AGRO_MSG_GRESKA_PRI_CUVANJU;Greška pri cuvanju izdavanja, promene vracene: ;frmAgrohemija.frm;534;DA;;
AGRO_MSG_PRIJEM_ZAVRSEN;Prijem završen: ;frmAgrohemija.frm;723;DA;;
AGRO_MSG_GRESKA_PRI_CUVANJU_2;Greška pri cuvanju prijema, promene vracene: ;frmAgrohemija.frm;746;DA;;
UI_SEPARATOR_EMDASH;—;frmAgrohemija.frm;917;DA;;Koristi se i u: frmAgrohemija.frm:956, frmBankaExportPregled.frm:182, frmOtkupAPP.frm:1157
UI_PLACEHOLDER_NEDOSTAJE;—nedostaje—;frmBankaExportPregled.frm;315;DA;;
BANKA_LBL_GENERISI_CSV_COMMIT;Generiši CSV (Commit 3);frmBankaExportPregled.frm;610;DA;;
BANKA_LBL_UVOZ_TRANSAKCIJA_BANKARSKIH;Uvoz transakcija iz bankarskih izvoda — mapiranje na partnere;frmBankaImport.frm;33;DA;;
DOK_LBL_OPERATIVNI_UNOS_DOKUMENATA;Operativni unos dokumenata, ambalaže i novca;frmDokumenta.frm;179;DA;;
DOK_ERR_GRESKA_PRI_OTVARANJU;Greška pri otvaranju dokumenata: ;frmDokumenta.frm;231;DA;;
UI_SEPARATOR_BULLET;  •  ;frmDokumenta.frm;408;DA;;Koristi se i u: frmDokumenta.frm:2287
DOK_MSG_UNOSI_SAMO_KLASA;Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.;frmDokumenta.frm;677;DA;;Koristi se i u: frmDokumenta.frm:1669, frmDokumenta.frm:1968, frmOtkup.frm:777
DOK_MSG_UNESITE_ISPRAVNU_KOLICINU;Unesite ispravnu kolicinu ambalaže!;frmDokumenta.frm;696;DA;;Koristi se i u: frmDokumenta.frm:1401, frmDokumenta.frm:1688, frmDokumenta.frm:1987, frmDokumenta.frm:2369, frmOtkup.frm:804
DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2;Unesite ispravnu kolicinu ambalaže za II klasu!;frmDokumenta.frm;706;DA;;Koristi se i u: frmDokumenta.frm:1698, frmDokumenta.frm:2006, frmOtkup.frm:814
