Fajl;Linija;OrigLiteral;Zamena;Napomena
ThisWorkbook.doccls;55;"""Greška pri pokretanju aplikacije. Pogledajte log.""";"Poruka(""APP_MSG_GRESKA_PRI_POKRETANJU"")";    MsgBox
frmAgrohemija.frm;54;"""Magacin — izdavanje robe i prijem od dobavljaca""";"Poruka(""AGRO_LBL_MAGACIN_IZDAVANJE_ROBE"")";    StyleSubtitle lblSubtitle,
frmAgrohemija.frm;57;"""Izlaz — Izdavanje robe kooperantu""";"Poruka(""AGRO_LBL_IZLAZ_IZDAVANJE_ROBE"")";    StyleSectionHeader fraIzlaz,
frmAgrohemija.frm;58;"""Ulaz — Prijem robe od dobavljaca""";"Poruka(""AGRO_LBL_ULAZ_PRIJEM_ROBE"")";    StyleSectionHeader fraUlaz,
frmAgrohemija.frm;64;"""Završi izdavanje""";"Poruka(""AGRO_LBL_ZAVRSI_IZDAVANJE"")";    StylePrimaryButton btnZavrsiIzlaz,
frmAgrohemija.frm;68;"""Završi prijem""";"Poruka(""AGRO_LBL_ZAVRSI_PRIJEM"")";    StylePrimaryButton btnZavrsiUlaz,
frmAgrohemija.frm;235;"""Popuni 'Pakovanje' field u tblArtikli pre korišcenja.""";"Poruka(""AGRO_LBL_POPUNI_PAKOVANJE_FIELD"")";"CONCAT: lblPreporuka.caption = ""Greska: artikal nema definisano Pakovanje. "" & ""Popuni 'Pakovanje' field u t"
frmAgrohemija.frm;369;"""Popuni 'Pakovanje' field u tblArtikli pre korišcenja.""";"Poruka(""AGRO_LBL_POPUNI_PAKOVANJE_FIELD"")";"CONCAT: MsgBox ""Artikal '"" & artNaziv & ""' nema definisano Pakovanje."" & vbCrLf & ""Popuni 'Pakovanje' field "
frmAgrohemija.frm;396;"""Pokušavate dodati: """;"Poruka(""AGRO_MSG_POKUSAVATE_DODATI"")";"CONCAT: MsgBox ""Nedovoljno stanje za artikal!"" & vbCrLf & ""Na stanju: "" & FormatKol(dostupno) & "" "" & jm & v"
frmAgrohemija.frm;510;"""Izdavanje završeno: """;"Poruka(""AGRO_MSG_IZDAVANJE_ZAVRSENO"")";"CONCAT: MsgBox ""Izdavanje završeno: "" & brojDok & vbCrLf & m_KorpaIzlazCount & "" stavki"", vbInformation, APP"
frmAgrohemija.frm;534;"""Greška pri cuvanju izdavanja, promene vracene: """;"Poruka(""AGRO_MSG_GRESKA_PRI_CUVANJU"")";"CONCAT: MsgBox ""Greška pri cuvanju izdavanja, promene vracene: "" & errDesc, vbCritical, APP_NAME"
frmAgrohemija.frm;723;"""Prijem završen: """;"Poruka(""AGRO_MSG_PRIJEM_ZAVRSEN"")";"CONCAT: MsgBox ""Prijem završen: "" & brojDok & vbCrLf & m_KorpaUlazCount & "" stavki"", vbInformation, APP_NAME"
frmAgrohemija.frm;746;"""Greška pri cuvanju prijema, promene vracene: """;"Poruka(""AGRO_MSG_GRESKA_PRI_CUVANJU_2"")";"CONCAT: MsgBox ""Greška pri cuvanju prijema, promene vracene: "" & errDesc, vbCritical, APP_NAME"
frmAgrohemija.frm;1002;"""Završi izdavanje""";"Poruka(""AGRO_LBL_ZAVRSI_IZDAVANJE"")";    StylePrimaryButton btnZavrsiIzlaz,
frmAgrohemija.frm;1004;"""Završi prijem""";"Poruka(""AGRO_LBL_ZAVRSI_PRIJEM"")";    StylePrimaryButton btnZavrsiUlaz,
frmBankaExportPregled.frm;610;"""Generiši CSV (Commit 3)""";"Poruka(""BANKA_LBL_GENERISI_CSV_COMMIT"")";    StylePrimaryButton btnGenerisiCSV,
frmBankaImport.frm;33;"""Uvoz transakcija iz bankarskih izvoda — mapiranje na partnere""";"Poruka(""BANKA_LBL_UVOZ_TRANSAKCIJA_BANKARSKIH"")";    StyleSubtitle lblSubtitle,
frmDokumenta.frm;179;"""Operativni unos dokumenata, ambalaže i novca""";"Poruka(""DOK_LBL_OPERATIVNI_UNOS_DOKUMENATA"")";    StyleSubtitle lblSubtitle,
frmDokumenta.frm;231;"""Greška pri otvaranju dokumenata: """;"Poruka(""DOK_ERR_GRESKA_PRI_OTVARANJU"")";"CONCAT: MsgBox ""Greška pri otvaranju dokumenata: "" & Err.description, vbCritical, APP_NAME"
frmDokumenta.frm;677;"""Unosi se samo II klasa: obrišite kolicinu ambalaže za I klasu.""";"Poruka(""DOK_MSG_UNOSI_SAMO_KLASA"")";            MsgBox
frmDokumenta.frm;696;"""Unesite ispravnu kolicinu ambalaže!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU"")";            MsgBox
frmDokumenta.frm;706;"""Unesite ispravnu kolicinu ambalaže za II klasu!""";"Poruka(""DOK_MSG_UNESITE_ISPRAVNU_KOLICINU_2"")";                MsgBox
frmDokumenta.frm;720;"""Tip ambalaže '""";"Poruka(""DOK_MSG_TIP_AMBALAZE"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;720;"""' nema unetu težinu gajbice """;"Poruka(""DOK_MSG_NEMA_UNETU_TEZINU"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;721;"""(Maticni podaci ? Tip ambalaže).""";"Poruka(""DOK_MSG_MATICNI_PODACI_TIP"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;722;"""Bruto se ne može pretvoriti u neto.""";"Poruka(""DOK_MSG_BRUTO_MOZE_PRETVORITI"")";"CONCAT: MsgBox ""Tip ambalaže '"" & cmbTipAmbOtp.value & ""' nema unetu težinu gajbice "" & ""(Maticni podaci ? T"
frmDokumenta.frm;727;"""Težina ambalaže (""";"Poruka(""DOK_MSG_TEZINA_AMBALAZE"")";"CONCAT: MsgBox ""Težina ambalaže ("" & Format$(taraKg, ""#,##0.00"") & "" kg) je veca ili "" & ""jednaka bruto teži"
